r_export,category,python_symbol,status
GeomPointFixed,class-or-constructor,,pending
GeomSegmentFixed,class-or-constructor,,pending
GeomTextFixed,class-or-constructor,,pending
HistoImage,class-or-constructor,,pending
HistoImaging,class-or-constructor,,pending
HistologyImage,class-or-constructor,,pending
HistologyImaging,class-or-constructor,,pending
ImageAnnotation,class-or-constructor,,pending
MERFISH,class-or-constructor,,pending
MolecularAssay,class-or-constructor,,pending
SPATA2,class-or-constructor,,pending
SlideSeqV1,class-or-constructor,,pending
SpatialAnnotationScreening,class-or-constructor,,pending
SpatialData,class-or-constructor,SpatialData,implemented
SpatialGradientScreening,class-or-constructor,,pending
SpatialMethod,class-or-constructor,,pending
SpatialTrajectory,class-or-constructor,,pending
SpatialTrajectoryScreening,class-or-constructor,,pending
Trajectory,class-or-constructor,,pending
VisiumHD,class-or-constructor,,pending
VisiumLarge,class-or-constructor,,pending
VisiumSmall,class-or-constructor,,pending
Xenium,class-or-constructor,,pending
activateAssay,other,,pending
activateImage,other,,pending
activateImageInt,other,,pending
activateMatrix,other,,pending
activeAssay,other,,pending
activeImage,other,,pending
activeMatrix,other,,pending
addExpressionMatrix,add,,pending
addFeatures,add,,pending
addGeneSet,add,,pending
addImageAnnotation,add,,pending
addInnerBorder,add,,pending
addMetaDataMol,add,,pending
addMetaDataObs,add,,pending
addMetaboliteSet,add,,pending
addMoleculeCoordinates,add,,pending
addProcessedMatrix,add,,pending
addProteinSet,add,,pending
addSignature,add,,pending
addSpatialAnnotation,add,,pending
addSpatialTrajectory,add,,pending
add_dbscan_variable,add,,pending
add_edge_variable,add,,pending
add_grid_variable,add,,pending
add_models,add,,pending
add_models_to_shifted_projection_df,add,,pending
add_tissue_section_variable,add,,pending
adjustDefaultInstructions,other,,pending
alignImage,other,,pending
alignImageInteractive,other,,pending
align_grid_with_coordinates,other,,pending
allColorpalettes,other,,pending
allColorspectra,other,,pending
all_color_palettes,other,,pending
all_color_spectra,other,,pending
are_all_area_or_dist,other,,pending
are_all_dist,other,,pending
asGiotto,as,,pending
asMolecularAssay,as,,pending
asSPATA2,as,,pending
asSeurat,as,,pending
asSingleCellExperiment,as,,pending
asSummarizedExperiment,as,,pending
as_SPATA2_dist,as,,pending
as_centimeter,as,,pending
as_centimeter2,as,,pending
as_decimeter,as,,pending
as_decimeter2,as,,pending
as_meter,as,,pending
as_meter2,as,,pending
as_micrometer,as,as_micrometer,implemented
as_micrometer2,as,,pending
as_millimeter,as,,pending
as_millimeter2,as,,pending
as_nanometer,as,,pending
as_nanometer2,as,,pending
as_pixel,as,as_pixel,implemented
as_unit,as,,pending
barcodesToSpatialAnnotation,other,,pending
bin_projection_df,other,,pending
buffer_area,other,,pending
centerSpatialAnnotation,other,,pending
check_image_annotation_ids,check,,pending
check_image_annotation_tags,check,,pending
check_method,check,,pending
check_object,check,,pending
check_paths,check,,pending
check_sas_input,check,,pending
check_to,check,,pending
check_variables,check,,pending
close_area_df,other,,pending
color_vector,other,,pending
complete_visium_coords_df,other,,pending
computeCaptureArea,compute,,pending
computeCnvByChrArm,compute,,pending
computeCountPercentage,compute,,pending
computeMetaFeatures,compute,,pending
computePixelScaleFactor,compute,,pending
compute_angle_between_two_points,compute,,pending
compute_correction_factor_sas,compute,,pending
compute_correction_factor_sts,compute,,pending
compute_img_scale_fct,compute,,pending
containsAssay,contains,,pending
